"";"average.rating";"category";"pegi";"description";"devname";"price";"version";"lastupdate"
"1048";4,5;"Health & Fitness";4;"Do you need extra motivation for your workout? Turn up the energy on your favorite playlist by attaching coaching cues at any point. To prepare your workout, create a MyFitnessDJ playlist by selecting tracks from your iPod library - including Apple Music tracks - or choosing an existing iTunes playlist. For each track choose a Smart Preset or enter custom cues to be displayed at specific times during track play. Select custom begin/end times and crossfade to make a smooth mix using just the best parts of each track. An automatic countdown timer helps make every second count. You can share your playlist via AirpDrop, iMessage or email. And your working zone colors can be shown on a HomeKit enabled light bulb by turning on Zone Glow in tools. Subscribe to the Power Pack in-app purchase (99 cents per month) for TickerTape, cue lookahead, tempo control, Bluetooth Heart Rate input, voice announced cues and HotMic.Or subscribe to the Studio Edition in-app purchase ($4.99 per month) to calculate and display working zones from up to 50 ANT+ power or heart rate sensors (requires ANT+ to Wifi bridge on network) . Completed workout stats can be shared and imported into the Health app.  Both Power Pack and Studio Edition are auto renewable subscriptions which will renew each month unless turned off at least 24-hours before the end of the current period.Privacy Information: http://privacy.MyFitnessDJ.comTerms of Use: http://termsofuse.MyFitnessDJ.com";"David Norfleet-Vilaro";0;"2.9.27";1532649600
"1049";NA;"Health & Fitness";4;"Utilizing Bluetooth Smart 4, MyFitQuest 7 is an app that allows users a more dynamic exercise session. Designed to be compatible with various fitness equipment, MyFitQuest 7 users can track calories burned, distances traveled, workout durations, and speed averages. MyFitQuest 7 will allow users to access their historical workout. Customize your workout experience with our new, premiere website www.MyCloudFitness.com. On the website, users can manage workout goals, track their progress and learn workout tips. MyFitQuest 7 is compatible with the following products:Exerpeutic TF 3000 Electric Foldable Treadmill with Computer Workout Goal SettingModel: 4055Subscribe to www.MyCloudFitness.com and our Newsletter to receive the latest news on fitness apps in development, exciting discussions with community members, promotions on our Bluetooth compatible products.";"Paradigm Health and Wellness Inc.";0;NA;NA
"1050";NA;"Health & Fitness";12;"MyFood - Your Passport to Better Eating!MyFood makes it incredibly easy to let others know about food allergies and intolerances.Today, roughly one third of people have either a food allergy or intolerance, and everyone has things they really like or really dislike.  With MyFood, you just create your food profile (we like to think of it as a food passport) and then share it with friends, colleagues, or businesses.  Your food passport can be shared by becoming MyFood friends with other users or by emailing it to anyone who needs to know.  MyFood is free to use until you need to connect to more than 7 friends.  Then, you will be promoted to upgrade to the full version for $2.99US (or the converted amount for your currency). In the future, our visions is that you will be able to share your passport with schools, daycares, and event organizers, or even create your own event! The food you can eat is personal, and so is your food passport on MyFood. The choice is clear. Start using MyFood and eat the food you want…and can.""A FANTASTIC idea for all of my friends who throw dinner parties and can't always remember what their guests like or don't like or can't necessarily eat! I joined so that people who invite me to their dinner parties will have a pretty damn good idea. I'm just about to add my favourite wines!!!""- Miriam---------------------------------- taking only a few minutes, users create a profile of their food requirements, which then functions as their personal food passport- the food passport can be shared directly with their MyFood friends- the food passport can be emailed to people, schools, and business who aren't MyFood friends- everyone maintains their own passport, with updates shared automatically - family passports can be created for family members who don’t have their own accounts, for example, children- a special ""family"" relationship can be created between MyFood friendsentire family groups can be viewed, making it possible to track the requirements of a friend’s family without having to have a direct connection to each member of the family- local passports can be created for friends who are not yet users of MyFoodGet MyFood now...because you care!";"MyFood Limited";0;"2.6.1";1491350400
"1051";NA;"Health & Fitness";17;"MyGym offers great features to allow you to receive up to date information on your workout routine. With this App you will be able to view a daily course schedule of your gym and also book a class through email or sms. Each gym location will show their own courses and timetable. You will also find news, event and promotions as well as a short bio about the staff at the gym! Download MyGym today and let your smartphone do the heavy lifting.Powered by MakeItApp - www.make-it-app.com";"Makeitapp s.r.l.";0;"2.9.3";1407024000
"1052";3,4;"Health & Fitness";4;"The Habit Personalized Nutrition app provides customized food, diet and nutrient recommendations based on your unique biology.Habit customers can use the app to walk through the Nutrition Test Kit process. Once your test results are in, you’ll have your biology reports and complete nutrition plan at your fingertips. You can also use it to contact Habit Support.To find what feeds you and start your personal Habit journey, visit habit.com.ABOUT HABITAs the antidote to the one-size-fits-all diet world, Habit helps you discover the foods and nutrients your body craves based on your own biology. We’re cooking up a personalized food revolution. Find out more at habit.com.";"Habit, LLC";0;"3.2.10";1529539200
"1053";NA;"Health & Fitness";17;"What should you do if your child develops a fever, cough, vomiting, rash, sore throat or head injury?  What should you do about behavioral issues, from toilet training to teaching responsibility to teenagers? These are questions that all parents have.  Health problems and parenting issues can arise anytime – evenings, weekends, when you’re at work or traveling or your doctor’s office is closed.MyHealth Pal is designed especially for these concerns and challenges. Why parents and caregivers prefer MyHealth Pal:Reliability:MyHealth Pal is derived from the clinical protocols used by pediatricians and nurses in 10,000 practices and 400 nurse advice call centers in the US and Canada.  They have been tested for 15 years on more than 150 million symptom calls.The Symptom Care Guides help you make smart decisions on what level of care (if any) is needed and how to provide speedy symptom relief for minor illnesses or injuries you can manage on your own.The Parent Advice Messages deal with the most common behavior and wellness questions parents ask their physicians.  Each topic provides a description of the issue, three to five specific recommendations to address the concern, and (often) additional resources which may be useful to your situation. Easy 3-step navigation:1.     Choose the most appropriate symptom care guide 2.     Use the symptom decision chart to find the recommended action3.     Follow the self care advice to make your child more comfortableThe care guide that best matches your child’s symptom can be located quickly by using the alphabetical index, body area index, or keyword search.Content - each symptom care guide contains:· Definition which describes the focus of the care guide so you can decide if it’s a good fit for your problem.  If not, there are quick links to related care guides.· Decision Chart which helps determine what action is suggested based on the severity and description of your symptom.  Once you have a match, simply follow the corresponding action, such as Call 911, Call Your Child’s Doctor Now, Call Your Child’s Doctor within 24 Hours or Manage at Home. · Immediate Connections to medical help, such as 911, your child’s doctor or nearby Emergency Department (ER) are available if you have phone service.· Home Care Advice is available for any illnesses and injuries that can be treated at home.  The instructions provide clear, up-to-date steps for relieving symptoms.Extras:*  Medication and Allergy List for tracking important information about your family’s prescriptions and/or over the counter medications.*  Dosage tables for common over-the-counter medications.*  Visual images to help you identify symptoms (e.g. rashes), injuries and common causes of bites & stings. *  First Aid topics and illustrations to support immediate action, if needed.Disclaimer: The information provided with this Application is not a substitute for professional medical or behavioral advice, diagnosis or treatment; it is for informational purposes only. Talk with your healthcare provider about any questions you may have regarding a medical condition. If you think your child may have a medical emergency, call the doctor or 911 immediately.  Before using MyHealth Pal, all users should read and agree with the full Disclaimer available in the application within Help.";"Advocate Health Care";0;"1.09";1527724800
"1054";NA;"Health & Fitness";12;"Application for virtual conference for the pre-specified locations.";"J&B MEDICAL SUPPLY CO., INC.";0;"2.3";1492905600
"1055";NA;"Health & Fitness";4;"Through the MyKi Care™ app you can see your baby's temperature and health all the time with a MyKi Care thermometer connected to your mobile phone.  The MyKi Care thermometer is highly sensitive and accurate, has low power consumption and it is easy to use! Other functions of the app, such as impulsive temperature change alarm, provide your baby the best health care and makes MyKi Care one of a kind product. The dongle (optional) makes information, available at any place, without any restrictions.Key Features:• Wireless - Real time temperature measurements;• Remote Monitoring - Monitor your child's temperature on your phone over the MyKi Care app. I.e while you are at work and your child is at home;• Measurement History - Check your child's temperature directly on your phone;• Child profile - You can set age, height and weight of your child;• High and low temperature alert - Set alerts when your child's temperature rises or drops below certain thresholds;• Dongle - access to the information for the temperature is available from any location.";"Tera communications SA";0;"2.3.4";1535068800
"1056";NA;"Health & Fitness";12;"Revello Medical and Wellness is a family owned and operated medical practice founded in 1992 by Raul Revello MD and Patti Revello. Over the years our practice has had a primary focus to always keep our patients needs first.The vision of Revello Medical has always been to set our practice apart from the rest and that starts from the moment you enter through the door. We are not your typical medical practice, upon arriving our patients feel the warmth and familiarity from our front office staff and that continue all the way through your visit with one of our dedicated physicians.Our Physicians are always prepared to give you the personalized care you need and deserve and to pursue quality of excellence in your care.At Revello Medical and Wellness we specialize in the excellence of patient care by offering compassionate and personal health care, providing free home delivery of your prescriptions, scheduling of same day appointments when necessary, offering a one of a kind activity centers. All of these things combined and so much more makes Revello Medical and Wellness your first choice in medical care and together we will strive to make a healthier you.";"Patricia Revello";0;"1.1";1509667200
"1057";NA;"Medical";12;"MySwaasth is a complete healthcare companion with features like Self-Diagnosis System, information on medical conditions and symptoms, list of medications, locker for medical documents as an online backup of your medical histories and reports.You can also find nearby doctors and hospitals for medical assistance with My Swaasth.Our self-diagnosis system is designed to easily evaluate your symptoms and provides you with most possible causes, medical information and treatment by some of the best doctors within India.It lists out the possible causes and treatment but you should seek medical advice before trying anything yourself. And in cases of high priority please contact the emergency health services.App also features a blog for your daily medical and health information like healthy food, exercises, prevention to take care.Features:**Basic First-Aid GuideAccidents happen. Are you prepared? With First-Aid feature, provide immediate care and assistance to someone who is hurt or who becomes ill.**Browse Medicines OnlineSee what the medicine has and what are the effects and the side effects**Consult DoctorsAsk a health query over chat from our Best & Brightest Doctors who are highly expertise in all specialties and treatments.**Self Help/Self DiagnosticGet information on any symptoms, conditions, procedures, medications etc. and find the best possible diagnosis and treatment.**Health Articles & BlogsView the latest health news and articles on lifestyle, fitness, nutrition and prevention posted throughout the day to give you guidance and advice from the best health experts.**Maintain Health recordsTrack your medical information, past appointments record, test results, prescription etc. online through our EMR system anytime/anywhere.**Locate Nearby DoctorSearch for a doctor or hospital near you by entering your location.**Online Appointments SchedulingBook and manage the first available appointments with the best doctors in your locality via simple apps.**Hospital ERP SystemWe assist healthcare professionals to take better care of their patients, make their medical practices more effective and make the lives of both easier and more pleasant.**Medicines Reminder & AlertWith our easy-to-use medical app, you can remember to take medications and pills at the right time and day.**Emergencies Contact Number and SOS SupportWherever you are—whatever you need— inform the emergency services and we’re ready to help.MySwaasth : Indian health app is your go to doctor for a second opinion with resources that could help you figure out and understand your health better.Coming Soon in Hindi.**My Swaasth app seeks following permissions:Identity – to speed-up doctor appointments, medicine orders, health records uploads and much more!Location – to auto-detect your location while booking doctor appointments and placing medicine ordersSMS – to automatically verify OTPs sent by us to your mobile numberPhone – to directly make calls to doctors, clinics or diagnostic labs from the appPhotos – so that you can upload and share images from your device (health records, prescriptions etc)Camera – to use device camera for instantly capturing & uploading prescriptions, invoices or other health documents.Network – to determine device’s connectivity to the internetFollow the Privacy Policy link for further information on how we take care of your privacy and also check our terms and conditions.";"InspireBrio Ventures Private Limited";0;"2.2";1531872000
"1058";NA;"Health & Fitness";4;"The MyTransition App is a tool that can be easily accessed and used by the majority of youth with chronic health conditions, in order to support and improve individual transition of care experiences and health outcomes. The software includes the MyHealth 3-Sentence Summary, MyHealth Passport, and TRANSITION-Q as well as a key contact person from the youth’s treating healthcare team to integrate into one’s healthcare. The app provides an easily and readily accessible central location for young adults to track their transition, keep contacts in one place, and improve communication with their healthcare team.";"McMaster University";0;NA;NA
"1059";NA;"Health & Fitness";17;"Everyone needs a personal care record.  Good health is not something that just happens to you.  Like wealth, it has to be managed and created. Everyone has their own life-long records for their wealth; almost no-one their own life-long record for their health.  Consumers want to manage their own healthcare through their mobile phone, instantly, just like their banking, shopping and travel.  MyVytalCare provides consumers with their life-long personal health data, rich applications and services, and interaction with digitally enabled health providers through their mobile phone.  Consumers need empowerment and choice, at their fingertips.MyVytalCare receives an automatic daily update from your UK GP 's record to ensure your personal care record stays right up-to-date.MyVytalCare is pro-active, reading your healthcare data, interpreting your data, making it come alive, telling you what it means, running risk assessments, identifying the evidence-based actions you need to take and creating your own, specific, personal care pathways.MyVytalCare delivers automatic alerts, reminders and follow up on your phone for the actions you need to take to get your best health outcomes including your long-term conditions (e.g. diabetes, heart, lung or kidney problems), all driven automatically by the authoritative data from your GP's record. Can book GP appointments and order your repeat prescriptions from your phone.MyVytalCare enables you to hold your children's records on your mobile and, with consent, hold the record of elderly parents who can no longer look after their own health.MyVytalCare has a rich set of apps and services, to optimise your health, all integrated, all working together on your mobile.MyVytalCare is multilingual and changes languages with a tap in the app on your phone.";"DXS International Plc";0;"1.4.0";1536192000
"1060";NA;"Health & Fitness";4;"MyWellness World Class NSK app helps you get most out of the services of your facility when you train both indoor and outdoor.Completely redesigned look and feel with three areas:FACILITY: Discover all the services that your facility provides and choose what interests you most. MY MOVEMENT: What you’ve chosen to do: here you will find your programme, classes you’ve booked, challenges you’ve joined and all the other activities you’ve chosen to do at your facilityRESULTS: Check your results and monitor your progress.Train with the MyWellness World Class NSK app, collect MOVEs, and get more and more active every day. Enjoy the best experience in Technogym equipped facilities using MyWellness World Class NSK app to connect to the equipment with Bluetooth or QR Code. The equipment will automatically set up with your program and your results will be automatically tracked on your mywellness account.Log MOVEs manually or sync with other apps such as Apple Health, Fitbit, Garmin, MapMyFitness, MyFitnessPal, Polar, RunKeeper, Strava, Swimtag and Withings.---------------------------------WHY USE THE MyWellness World Class NSK app?YOUR FACILITY CONTENTS AT A GLANCE: Discover in the FACILITY AREA of the app all the programmes, classes and challenges that your facility promotesAN HAND ON VIRTUAL COACH THAT GUIDES YOU IN THE WORKOUT: Easily choose the workout you want to do today in MY MOVEMENT page and let the app guide you through the workout: the app automatically moves to next exercise and gives you the possibility to rate your experience and schedule your next workout.PROGRAMME: get your personalized and complete training program including cardio, strength, classes and all types of activities; access all exercise instructions and videos; keep track of your results automatically by signing in to mywellness directly on Technogym equipment, wherever you are in the worldA SUPERIOR CLASSES EXPERIENCE: Use MyWellness World Class NSK app to easily find the classes of your interest and book a spot. You will receive smart reminders to help you not to forget your appointment.OUTDOOR ACTIVITY: keep track of your outdoor activities directly via the MyWellness World Class NSK app or automatically synchronise the data you have stored in other applications such as Apple Health, Fitbit, Garmin, MapMyFitness, MyFitnessPal, Polar, RunKeeper, Strava, Swimtag and WithingsFUN: join the challenges organized by your facility, train and improve your challenge ranking in real time.BODY MEASUREMENTS: keep track of your measurements (weight, body fat, etc..) and check your progress over time.";"SPORT-INVEST, OOO";0;"4.11";1536883200
"1061";NA;"Medical";17;"MyWorkDoc is a comprehensive, easy to use around-the-clock solution to your occupational injury and wellness needs. Our goal is to provide near immediate audio and visual triage for employees injured in the field or at a facility. With our service, you and your injured employee have access to medical professionals 24 hours a day, 365 days a year, using state-of-the-art, HIPAA-compliant audio, visual conferencing by computer or smartphone.How it Works:• Download the App• When injured, launch app, accept terms and conditions and answer a few simple questions• Within minutes you will be connected to a MyWorkDoc Provider, who will begin the triage process using state of the art audio and visual technology  • A MyWorkDoc Provider will follow your injury from the time of your first report until you case is closedFeatures Include:• HIPAA Compliant• Accessible via smart phone, computer, or iPad• We securely record your visit with the Provider to ensure your highest quality of care• Complete case management services that ensure follow through to completion • Timely reporting of Injuries• Strong clinical protocols";"Virtual HCM LLC";0;"2.1.1";1508976000
"1062";4,6;"Health & Fitness";4;"Download the NAB Nail Bar App today to plan and schedule your appointments! From this mobile App you can view schedules, book appointments, view ongoing promotions, as well as view our location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of booking your appointments from your device! Download this App today!  NAB Nail Bar Nail Salon in Las Vegas, Near Summerlin ""Dreams Are Worth the Climb, Get Polished, Go Shine"" Welcome to NAB Nail Bar Las Vegas Nail Salon Specializing in Nail Service, Manicure, Pedicure, Gel’s, Acrylic Tip Full Set, Nail Art, Lashes, Lash Extensions, Combination of Classic and Volume, Mixed Set, Customized Volume Lashing, Wax, Botox, Microblading, Message, Eyelash tinting, Facial, Full Body Wax, and Private Event VIP LED Glow in the dark room for Birthday Parties, Showers, Weddings, Engagements, Promotional Events, Parties, Couple's Day, Anniversary and more. Enjoy our Signature Mani/pedi’s in Our New LED Glow ROOM. Book with us Today and Make Your Event One to Remember for Life! See Our LED Glow in the Dark Nail Bar with Fiber Optic Lights, Come Visit our State of the Art HOTEST Trending Party LED Room for Mani/Pedi’s in Las Vegas. Our 2020 Back to The Future Art & Style We Provide Ourselves In Making Sure You Look and Feel Your Best!  We Work as a Team, Very Clean, Fashion Trendy and Polished Nail Salon and Spa ""Dreams Are Worth the Climb, Get Polished, Go Shine"" ~ NAB Nail Bar";"MINDBODY, Incorporated";0;"4.2.1";1530748800
"1063";NA;"Social Networking";12;"NAILCONNECTS is a social marketing company which promotion jobs for Nails salon";"MEKOLOR JOINT STOCK COMPANY";0;NA;NA
"1064";1,5;"Food & Drink";4;"Update: We are currently working to get the next version of Napkin approved which contains fixes for some bugs and will bring some delicious new recipes to the store! Watch out for the update soon.Napkin makes cooking healthy, delicious food easy! Our recipes are broken down into bite-sized steps with clear pictures of what you need to do. When you are ready to move to the next instruction, just say ""next!"" — Napkin is controlled with your voice and the instructions are read out to you.Welcome to all our new cooks! We are cooking up and fine tuning more recipes for you now, hold tight...Hands free cooking — we believe Napkin is the best App to cook with! Move through steps with voice control, hear the instructions read out to you, see the clear pictures showing you exactly what to doCooking Timers — Napkin can set timers for you, and notify you when they are done! The Napkin Apple Watch App allows you to see how long is left on the timers, and pause the timers without unlocking your phoneFresh new recipes — every week we personally develop and test new recipes ourselves to make sure they are incredibly easy to followBeautiful store — browse through our recipes in our easy to navigate store to find the perfect recipe to cook for dinnerCollect points as you cook to unlock more recipes!";"Nick Brook";0;"1.3.0";1437436800
"1065";NA;"Health & Fitness";17;"MPOWER by Narus Health is a secure mobile app that serves as the lifeline between patients, their families, their doctors and the Narus Health Care Team; providing a better care experience, and securely enabling reporting of well-being, messaging, delivery of education material, consolidated contacts and key phone numbers.";"Narus Health, Inc";0;"2.0.10";1536710400
"1066";4,8;"Education";12;"Pass the NASM® CPT on your first try! Create customized practice tests, view detailed answer rationales, and review your results with just a few taps.Pocket Prep is an award-winning tool in mobile learning and exam preparation. Pocket Prep allows you to study anywhere, anytime, right from your mobile device. We strive to make studying more efficient by redefining how you prepare for the Certified Personal Trainer (NASM® CPT) exam.* Academics’ Choice “Smart Media” award winner* EdTech Digest “Cool Tool” award winnerThe Science Behind Mobile Learning:Overloading your brain with too much information at once is a common study mistake. Research has shown that smaller, more frequent study sessions are the key to knowledge retention. In other words, taking short quizzes on the go is becoming a much more effective means of exam preparation than reading page after page in a textbook. Apps offer the benefit of interaction, which means you’re far more likely to remember a concept you engage with rather than one you’ve only read about.Take your NASM® CPT studies with you, no matter where life takes you.CPT Content Areas:- Assessment- Basic and Applied Sciences- Client Relations and Behavioral Coaching- Considerations in Nutrition- Exercise Technique and Training Instruction- Professional Development, Practice & Responsibility- Program DesignGet Started for Free:We provide a limited free version so you can get a feel for the app before deciding to upgrade. The free version offers 74 questions with detailed answer explanations.- 30 free questions available with download- 30 free bonus questions available through social media- 14-day access to the Question of the Day (QOTD)- Comprehensive test-taking strategy guideUnlock the Ultimate Mobile Learning Experience:A one-time in-app purchase grants full lifetime access to our CPT app.- 800 total practice questions and detailed rationales- Lifetime access to Question of the Day (QOTD)- Unlock all social media bonus questions- Unlock Exam Builder to create customized exams- Priority in-app supportPocket Prep Features:- No internet required- Study Modes: See answers as you go or at the end- Retake past exams with a single tap- Study reminders and QOTD notifications- Automatic test saving and retrieval- Detailed history and results reporting- Exam day countdown- Multi-device readyOur team of writers and editors are industry leaders who have meticulously crafted personal trainer practice questions and detailed answer explanations with you in mind. Since 2011, Pocket Prep has been the leader in mobile learning and has helped over five million students and professionals achieve more.Need help? Contact us through the app’s support section at any time for a response within 24 hours.";"Pocket Prep, Inc.";0;"6.5.6";1536537600
"1067";NA;"Health & Fitness";4;"Well Come to Natural Skin Care Tips Application.This application is all about homemade Skin care beauty tips for dry skin,oily skin,normal skin and other natural treatment.Looking good and beautiful is every women's desire, but ageing and different factors show you dull looking, but you can do small carefulness to keep you beautiful and gorgeous. This application give you complete set of natural skin care tips.-: Natural Skin Care Tips Features :-- 100% free application.- Beautiful user friendly UI.- Share Natural Skin Care Tips via SMS, Whatsapp and Other Social Application like Facebook, WeChat, etc.- Get Notification of Natural Skin Care Tips.- This application is in Hindi Language.- Healthy Skin Care Tips & Beauty Ideas.- Skin Care - Cleansers, Moisturizers, Toners & Treatments.- Homemade skin care tips.- Natural skin care tips.- Lots of desi natural skin care tips/home remedies are available.- Home Ayurvedic skin care remedies provide quick results.- Natural Skin Care Tips application will give various treatment method like Homeopathy, Ayurveda, Home Remedies for your skin care.- So what are you waiting for!- Grab this app now!- Download Now!- We will provide our next update as soon as possible with more new features and more Options.Thanks in Advance for Downloading. . .Download it and enjoy.Rate Us if you like So much.If you like this app please recommended it to your friend circle.If you like this app please rate and share.";"NIKUNJ GODHANI";0;NA;NA
"1068";NA;"Health & Fitness";4;"Life is stressing you out? Can't get a good sleep? This app will help you unwind and forget all about daily problems. Listen to the sounds of nature while delighting your eyes with beautiful nature clips.You can choose from 20 nature sounds and combine any sounds and play them at the same time. Setup the volume independently for each sound so you can find the perfect balance of ambience.Create your own favourite nature sounds mix and save it for later. Go back to the nature even in your own living room or bedroom.Moreover, there are 10 video loops related to the sounds that offer an enhanced experience of nature.Relax on over 20 different sounds and almost endless mixing possibilities.The sounds include:* Rain (heavy, mild or on car)* Thunderstorm* Crackling fire* Birds singing in the forest* Crickets* Wind* Whales songs* Waves crashing on beach* Underwater soothing sounds* Mountain river* Fountain* Waterfall from Croatia* Stormy ocean Porto... and moreFeel free to combine them as you wish and get the good night rest that you deserve.Take advantage of the AppleTV's airplay and stream the screen even to your old AppleTV.Also don't forget to checkout the dedicated app for your new AppleTV. Buy it once and enjoy it on all your devices.Don't forget to rate the app in the AppStore, your opinion really keeps us motivated ;-)";"Radu Nicolae Turcas";0;"2.2";1477872000
"1069";NA;"Health & Fitness";4;"Need a white noise generator? Look no further. These nature sounds allow deep relaxation and peace of mind as you fall asleep to the sounds of dripping rain or bird sounds. Set a sleep timer and be lulled to the gentle sounds of rain drops falling or birds singing. If the sound of a sharp buzzer is too harsh in the morning, try waking to the relaxing sounds rain or gentle winds.Need to meditate? Set a timer using this free app and choose a beautiful nature landscape. Allow the calmness to overcome you and the stress to flow out of you as you relax to nature music. Relax to the gentle nature sounds against a beautiful nature landscape. This free app includes a countdown, so you don’t have to worry about anything except picking your favorite nature sound. Have you tried audio therapy? If you are tired or stressed, simply listen to the relaxing sounds of a river babbling through a field of beautiful flowers as the clouds make their way across the sky. Enjoy the peace and relaxation that is only found in the ambient sounds of nature.This free app includes:-	High quality nature music-	Soothing nature sounds -	Peaceful landscapes-	Sleep timer-	SD card installation capability-	Undisturbed phone call recognitionFind your inner peace in the sounds of forests.";"John Gifford";0;"1.0";1454976000
"1070";NA;"Health & Fitness";4;"- Nautilus_S is iPhone/ipod(6th generation only) application for purpose of simulating various effects of eyeglass lenses to the customers.- Nautilus_S is controlled by Nautilus_C with which Eye-care-Professional intends to advice the proper eyeglass lenses to customers.- Nautilus_S can be connected with Nautilus_C via WIFI and Bleutooth 4.0- Through Nautilus_S, Customers can experience the world best Essilor products as followings.	· Varilux S series	· Varilux E series	· Varilux Eyezen	· Essilor Eyezen	· Crizal	· Transitions	· Xperio	· Optifog";"Essilor International";0;"1.7.0";1522195200
"1071";NA;"Sports";4;"The Northeastern NY PGA Junior Golf App for iPhone.Key Features:• View NENY PGA Jr Golf tournament info and leaderboards.• Find courses and course info - across the U.S. and Canada• Read the latest NENY PGA Jr Golf news.• Season standings and stats.• Check in to events, and use GPS to let event staff see your location on the course while you play.**Continued use of GPS running in the background can dramatically decrease battery life.";"Tracie Warner";0;"6.8.0";1534204800
"1072";NA;"Medical";17;"- Building digital network pharmacies to guarantee coverage, easy and fast access.- Highly optimized app designed for easy use.- Import recent drugs including prices and units.- Ability to search for items by Trade Name English, Trade Name Arabic and Generic Nameto find alternatives.- Two ways rating from customer to pharmacy and from pharmacy to customer to ensurehigh quality service.- Offers option to open easy and fast channel for digital marketing for the right audienceand with high conversion rate.- Review orders history and monthly App sales.- Push Notifications to keep you updated with new orders and any new .- Loyalty system for pharmacies start building relation and loyalty for the App.Promises:- Profitability.- Business Growing.- Ability to remotely review your App orders- Easy way for digital marketing throw offers option- Loyalty Benefits.";"READY APPS LLC";0;"1.2.3";1536019200
"1073";NA;"Health & Fitness";4;"The Nestlé Congress App is designed for participants at the 50th ESPGHAN Annual Meeting, 10-13 May 2017, Prague, Czech Republic. The app allows participant to :o   Play and Experience HMO !o   Access Scientific Materialo   Take our quick 3 questions survey !";"Publicis Life Brands BOZ";0;"1.0.0004";1494115200
"1074";4,4;"Sports";17;"The New York Health & Racquet Club app provides class schedules, social media platform, creation of goals and participation in club challenges. Our app will also allow you to link many of the popular fitness tracking devices and fitness apps on the market. It uses HealthKit to save your workouts, so they can contribute to your fitness goals and challenges progress.Have a comment or question? Email our team directly at support@netpulse.com.";"Netpulse, Inc.";0;"1.17";1535500800
"1075";2,7;"Health & Fitness";12;"The New You Challenge was created to show what's possible when the right people get the right coaching, dietary and supplementation support.  Hundreds of thousands of people all around the world have completed this program and transformed their lives. As a challenge participant, you will receive instructor led workouts three days per week, a custom meal plan, supplementation support and this personalized digital health application to track your progress during the first 6 weeks and beyond.  You'll also be placed in a group of like-minded individuals during your journey who will push you, motivate you, and inspire you to be the best version of you!Also, integrate with AppleHealthKit to track all of your biometric data and workout history!";"Biomarker Labs, Inc.";0;"1.16";1534464000
"1076";NA;"Health & Fitness";12;"Up to 50% of all people in the USA suffer from depression at least once in their lifetime!Do you feel tired? Powerless? Joyless? Empty? Depressed? Can't you sleep properly?There is an explanation for all of this!In the context of a simulated interview with a psychologist you receive questions that you can answer individually.Depression is an officially approved disorder that is still tabooed and neglected by a big part of society, although depression is a widespread disease. Depression can be healed!The earlier a depression is diagnosed, the faster you will feel better. This app has already helped many people!Legal disclaimer:""New! Depression Test"" does not replace a consultation with a doctor! This app should not be treated as doctor's advice or a final diagnosis.Our app was made for informational and educational purposes only and should help you to learn more about your symptoms.In cases of doubt you should see a doctor and ask for medical advice concerning your symptoms. In case of a health emergency, you must call your local emergency number immediately.";"Ines Michels";0;"1.0.3";1524960000
"1077";NA;"Health & Fitness";4;"NEWCO RunPro is a Bluetooth Low Energy powerful App for running,cycling,heart rate monitor sensor and GPS speed outdoor that let your iPhone 4S or later become a smart fitness tool. When you purchased our NEWCO heart rate monitor sensor(s) and download with this App, the sensor(s) will work with iPhone 4S or later to track data such as  current, average, and max heart rate,speed, pace, calorie, time,distance, in-zone,GPS speed etc. **** Quick Operation ****Firstly,pair with RunPro app for connecting to heart rate monitor sensor(s).Please be noticed that the mobile devices should support Bluetooth 4.0 protocols. Secondly,select the screen for running (RUN), heart rate monitor, or cycling (Bike) to see the information you feel the most important during your workout. Works with iPhone 4S or later having GPS location updates capability.Please Note: Continued use of GPS running  can dramatically decrease battery life.";"National Electronics & Watch Co.,Ltd.";0;"1.4";1385337600
"1078";NA;"Medical";4;"Connect with your doctor using the NexHealth app.NexHealth helps you connect with your doctor, book and change your appointments anytime and anywhere, message your doctor's office, check-in, and finally, pay your doctor.";"NexHealth Dev";0;"1.5";1500508800
"1079";NA;"Health & Fitness";4;"Download the Nextmove Physio Plus App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!";"MINDBODY, Incorporated";0;"4.2.1";1530921600
"1080";NA;"Medical";4;"Our main aim is your satisfaction & comfort. Which is why we wouldn’t want you carrying loads of paper around while trying to submit a claim, or going through a long list just to find the provider you are looking for. With our app, everything related to your Health Insurance is at the palm of your hand. Submission of claims for reimbursement, your complete policy documents, Table of benefits, eligibility & exclusions, complete provider network, all can be accessed whenever, wherever you are.";"Bishnu dey";0;"1.4";1534032000
