"Description";"NC 1/0"
"Learn  Track  Practice - Quiz  anytime, anywhere...

WHAT'S NEW:
** Additional 20 Skills and corresponding NCLEX style questions (In-App Purchase required)
** Accessibility features for visually impaired users
** iPhone X compatibility
 
Skills Hub App is part of a platform developed by Skyscape for mastering nursing skills, it includes:
* Concise step-by-step instruction (checklists) that put theory into practice
* Instructional videos for visual and auditory learners
* References to evidence-based articles for deeper understanding

The platform helps prepares for the NCLEX exam as each ""Skill"" has five NCLEX style questions in alternative style formats:

* Reorder
* Select all that apply
* True/False
* Fill-in-the-Blank
* Multiple Choice)

Each question has the correct answer, the rationale and questions can be attempted multiple times.

Think you have mastered a skill? Upload a video of yourself performing it to our cloud server (skillshub.skyscape.com) for self-reflection, peer or faculty review. This is an absolutely FREE service for Skyscape account holders.
 
Track skills practiced in the Lab/Clinic, build a portfolio . 

http://www.skyscape.com/skillshub/appfaq
 
Faculty can build custom modules, distribute to student cohorts, track their progress and generate aggregated reports. Contact sales@skyscape.com for a demonstration.";1
"This app only focuses on three key activities: feeding,  diaper changing and crying with concise and intuitive user interface providing features:

- Track feeding time and duration
- Track crying time and duration
- Track times for diaper changes
- See convenient summary view that shows up-to-date overview of baby's activities that helps figure out what is expected next
- Reset tracking data with one click
- Filter by Activity

All tracking data is secured and no data will leave your phone.";NA
"The Lumin Health app allows patients to quickly and conveniently find the nearest location. Each location features hours of operation, services available and contact information. Patients can also compare local pharmacies and get free coupons to save on their prescriptions. Save hundreds on your medication costs, regardless of coverage status.";1
"This App is intended for Veterinary Professionals, including veterinarians, veterinary students and veterinary technicians.

Equine Joints describes the approach by both synoviocentesis and arthroscopy to clinically important joints/sheaths/bursae in the horse. 

Extensive notes including multiple alternate approaches for each structure. 
Photographs and line drawings of relevant anatomy.
Information on safety, technique and skin preparation. 
Easy to access equipment lists including information on needle choice and quantity of local anaesthetic to use for regional analgesia.
Quick reference for arthroscopic positioning and approaches. 

A unique resource for students, practitioners and specialists alike. 

The App comprehensively covers the approaches to clinically important synovial structures including joints, tendon sheaths and bursae in the horse. Standard and alternative approaches for synoviocentesis are covered.  For surgeons, nurses, interns and students a handy quick reference to the approach and positioning for endoscopy or arthroscopy of each synovial structure is also given. Clinical notes on anatomy, technique and possible complications are given for each structure accompanied by extensive line drawings and photographs. This is an essential resource for practitioners, students, residents and specialists alike.
The British Equine Veterinary Association (BEVA) also offer this App free to their members as part of their membership benefits package.


Submit any comments or suggestions for updates at www.equineadvances.com";1
"The Tray Organizing Manager is a smart application for the digitalization and management of surgical sets as well as the documentation of the SPD assembling process.";NA
"The Levo System is a safe and scientifically designed sound therapy for people with tinnitus.THE IMPACT OF TINNITUSIf you experience tinnitus, you understand clearly the affect it can have on daily life.  Stress, depression, anxiety, irritability, trouble sleeping  these are common experiences for tinnitus sufferers.   The Tinnitus Functional Index (TFI), a key feature of the Levo System, is a tool to determine the level of tinnitus severity and impact.  Use the TFI now to measure sleep quality, the ability to relax, emotional impact and quality of life.  After using Levo, take the TFI again to determine the level of improvement with therapy.YOUR UNIQUE SOUND, YOUR UNIQUE THERAPYLike no two fingerprints are the same, no two people have the same tinnitus sound. The Levo System identifies, recreates and maps your unique sound print to create a personalized therapy based on your needs as an individual. By listening to your sound print nightly while sleeping, your brain naturally learns to ignore the perceived sound of tinnitus, diminishing its impact over time.UNDERSTANDING TINNITUSWhile tinnitus is perceived in the ear, it actually occurs as a result of false signaling in the brain. The good news is that the brain has a profound ability to learn and create new signals. Utilizing that ability is key to tinnitus management.Designed by a team of worldclass neuroscientists, clinicians and patients, Levo is used nightly to leverage the brains natural cognitive abilities.SAFETY FIRSTFDA 510(k) clearedCE MarkCSA CertifiedISO 13485 CertifiedHealth Canada";NA
"Patient Application for the Sanofi ACT14132 Mini Comet study.";1
"Apollo ILS application - an instant connection with Apollo Institute of Liver Sciences, Chennai

Apollo Hospitals, Chennai presents an integrated application of Apollo Institute of Liver Sciences, Chennai (Apollo ILS). The key to your livers health is at your fingertips.  In the app, a user-friendly interface is created in which you can send your medical reports to Apollo Institute of Liver Sciences, Chennai and make enquiries about treatment options and also seek appointments with our expert liver specialists. 
 
The app also helps you understand the critical role played by your liver in sustaining complete health and the diseases that involves immediate medical attention. Also, you can know your doctor, by going through their profile. You can also get connected to our Apollo ILS, Chennai Team or fix an online appointment. 
 
Sit back and relax, let Apollo Hospitals, Chennai take care of your liver with our renowned doctors at Apollo Institute of Liver Sciences, Chennai (Apollo ILS, Chennai).";NA
"At Parkway Pharmacy Whitesburg, your time and health is important to us! We make it convenient for you to access your prescriptions while on the go and here's how:

App Features:
- Manage your family's prescriptions under one login account.
- View important information about your medication  uses, side effects, precautions, etc.
- Request a refill without logging in through the Quick Refill feature.
- Search through our extensive drug library better understand your medication.
- Read up-to-date health related articles and videos.
- Get directions to our store and view store hours.";1
"Cardiovascular disease is the number one cause of death and disease in the developed world, and is increasing at an astonishing rate in low and middle income countries due to unhealthy shifts in diet and activity patterns, high rates of smoking, and other risk factors. Although prevention is the best treatment, early intervention and appropriate management of cardiovascular disease leads to far better outcomes, improved quality of life and decreased mortality. 

The Cardiology pocket app by Borm Bruckmeier Publishing aims to provide todays busy clinicians with an overview of the current approaches to diagnosing and treating heart and cardiovascular disease, in a concise and highly accessible format. This comprehensive guide covers the major heart conditions most often seen in clinical practice, as well as other important cardiovascular topics such as hypertension, diseases of large vessels, and thromboembolic disease. Although some of content is specialized and will be found most useful by cardiologists and other cardiovascular disease specialists, given the large prevalence of cardiovascular disease, many other clinicians from general practitioners and hospitalists, to trainees and medical students will find the information inside extremely useful and practical in day-to-day practice.

The content of the Cardiology pocket app is presented using a new, innovative user interface (UI) that is elegant, intuitive and simple to use. Features include a unique and highly customizable UI design, gesture-based navigation, bookmarking and annotation support, indexed searching, support for iCloud backups, and numerous interactive components such as medical calculators for important cardiology formulas and scores.

Some of the topics covered in the new Cardiology pocket app include the following:
 The presentation, diagnosis and differential diagnosis of common conditions such as chest pain, hypertension, dyspnea, syncope, dizziness, arrhythmias, edema, cyanosis and more
 Information on common diagnostic procedures including ECG, heart auscultation, exercise stress testing, cardiac catheterization, pacemaker testing, and tilt-table testing
 The use and interpretation of common imaging techniques including chest radiography, echocardiography, angiography, CT, MRI and PET
 The diagnosis and management of angina, STEMI, unstable angina/NSTEMI and acute coronary syndrome (ACS) based on the latest practice guidelines from leading organizations such as the ACC/AHA
 Diagnosis and management of arrhythmias including atrial fibrillation, tachycardias and heart blocks
 Information on the diagnosis and management of heart failure
 Key guidelines on the diagnosis and management of hypertension including JNC 7 guidelines and recommendations
 Additional topics such as inflammatory heart and vascular diseases, cardiomyopathies, diabetic heart disease, diseases of the large vessels (eg, aortic aneurysms and dissections, PAD, carotid and renal artery stenosis)
 The prevention, diagnosis and management of thromboembolic disease including DVT, pulmonary embolism, stroke, HIT, and thromboembolism in Afib and valvular disease
 Guidelines for preoperative cardiac evaluation prior to non-cardiac surgery
 Drug administration information for drug classes commonly used in cardiology including vasoactive agents, beta-blockers, ACE inhibitors, ARBs, renin inhibitors, CCBs, diuretics, antiarrhythmics, nitrates, antilipidemics, and more
 The normal values and interpretation of common laboratory values used in cardiology  and cardiovascular medicine
 Common abbreviations and other useful resources";NA
"Learn all Skin Diseases and treatment with medicines and natural remedies.

This application provide skin diseases and how they appear on patients skin with guides on how to diagnose, investigate and treat the condition, The pictures provided are well colored and to enable users to have maximum benefit.The content of the application include
introduction
bacterial infections
Viral Infections
Fungal Infections
Parasitic Infections
Leprosy
Acne
Psoariasis
Pityriasis
Alopecia
Lichen planus
Lupus Erythematosis
Urticaria
Vitiligo
Drug Eruptions

Applications made by developers
Breath Sounds
Heart Sounds
Cardiopulmonary Sounds 
Heart Sounds Collection
Internal medicine mnemonics
clinical medicine mnemonics
emergency medicine mnemonics 
cardiology mnemonics
obstetrics and gynecology mnemonics
Neurology mnemonics
Human Anatomy Mnemonics
Cancers and genital health
10 foods that lowers cholesterol
Heart sound pro
best foods for flat belly
cancer fighting foods
Remedy to menstrual pain
health benefit of honey
We are so proud of our contribution to Medical Field.";NA
"Evesham Martial Arts new amazing app! Receive notifications and announcements. Sign up for memberships, events, gradings, summer camps, workshops, seminars. Current students can also access our class schedule, curriculum videos, theory sheets, and get important information right on your mobile device.";1
"MIA is a mobile application that provides simplified, aggregated and contextual data from a group of multiple clinical and medical systems. MIA provides a single simplified point of role defined access, allowing the user to see just the data that they need without moving from system to system or screen to screen.

Features:

-Smartcard authentication to the NHS spine in the United Kingdom
-Virtual Smartcard authentication to the NHS spine using a Virtual Smartcard passcode or Touch ID
-Secure access to clinical information
-Secure storage of the clinical records
-Ability to work both online and offline
-Synchronisation between the client and a server, and also among all the clients in the same team";NA
"Not Always A&E - this app will help you decide what to do and where to go if you are injured or unwell in Barking and Dagenham, Havering and Redbridge and help locate NHS services for you.  It contains the names, addresses, telephone numbers and opening hours of every GP surgery, pharmacy and walk in centre or minor injuries unit in the area.  It also gives advice on how to manage minor illnesses yourself.  Beat the clock and test your knowledge in our fun game.";1
"The European Association for Haemophilia and Allied Disorders is a recently established independent association of healthcare professionals which grew out of the activities of the European Interdisciplinary Working Group (IDWG).";1
"Recall the Game is a memory improvement game produced by the University of California Riverside (UCR) Brain Game Center, a research unit focused on brain fitness methods and applications. 

""Recall"" is a modified rendition of the cognitive ""N-back"" task set in a simple but challenging space-collection runner-style game. 

The goal of the player is to collect the right signal/fuel-cells to match ""N-back"" along a continuous sequence. As the game gets more challenging, the player is forced to perish or ""recall"". 

Studies conducted at the UCR Brain Game Center and elsewhere have shown the N-back increases working memory in trainees. And to date, there is no more fun version of N-back, than ""Recall"". 

Happy remembering!";1
"This migraine and headache diary was developed for you by Prof. Dr. Hartmut Gobel and his team at the Kiel Headache Centre. It will help you to monitor the progression and treatment of your headache disorder. The symptoms and the treatment effects can be documented precisely and at any time, allowing your headaches to be managed more effectively.

It is very easy to record and evaluate the course of your headache. Headache symptoms, for example pain severity, pain character, duration and location, can be described. Accompanying symptoms such as nausea, vomiting, noise- or light-sensitivity can be documented, either by directly entering these or by adding them to the comment field at the bottom of each entry.

Traditional pain diaries only document data, Migraine App can do much more. The data can be evaluated online and changes can be updated at any time. In this way, you can see and track treatment success immediately. This helps you and your doctor to continuously optimize treatment.

If you want, you can also allow your doctor to access your data by sending these in an email straight from the app. Alternatively, you can print the email report and bring it with you to your next appointment. This allows your doctor to monitor treatment results and optimize them in this modern form of telemedicine. As the data is stored on your iPhone or iPad, you can make this data available to your doctor irrespective of where you are, even if you live far away or are abroad. The data remains exclusively under your control.

Knowledge is the best medicine! Important information about headache and migraine can be found in the extensive migraine knowledge section of the web app.

If you would like to discuss any questions about headache or migraine with experts and patients, visit our online migraine and headache forum at www.headbook.me

This app is not suitable for self diagnosis or self treatment Treatment should only be arranged in discussion with your treating doctor.

This migraine and headache diary was developed after thorough testing and evaluation with patients and was optimized to reflect the exact needs of the users. It is very simple to use and limited to the information crucial for you and your doctor.

Regular updates ensure, that this app always reflects current migraine and headache research.

Further detailed information can be found at www.schmerzklinik.de";NA
"The Care/of app is your handy tool for reminding you to take your vitamins (just like your mom, but different) so you never miss a day. Learn about how your personalized vitamins boost your health, and earn rewards (free stuff!) for taking your vitamins consistently. It also makes taking your vitamins kinda fun.

With this little app you can

* Set reminders, so you never miss taking your vitamins
* Track your vitamin routine and get rewards for being consistent
* Change your pack. Add vitamins and supplements to your next pack or remove anything in your pack thats not working for you.
* Manage your subscription. Ensure your vitamins arrive just when you need them.
* Learn how your vitamins work in your body as you take them

Care/of offers personalized daily vitamin packs, recommended for you based on your diet and health goals. We produce our own line of vitamins, minerals, probiotics, and specialty supplements, and recommend the best ones for you based on your diet and lifestyle. You get packs delivered to your door each month, with a touch of joy. Dont have your vitamin recommendation yet? Head to takecareof.com, take a short quiz, and get the best vitamins made just for you.";NA
"Welcome to Eye Tracker!For some years I have been giving children exercises to develop smooth and accurate eye movements, as well as assisting other systems of the body.  I found that once the eyes started to move better, the child began to improve in their rate of advancing through reading levels and those who were becoming, or had become, disengaged from the learning process suddenly reconnected.I have been very excited to see the changes in people as they no longer see themselves as dumb and move from needing to be in remedial class to being part of the regular class.  Doing this work only allowed me to reach one person at a time.  One of my clients wondered if there was some way that I could make my program readily available to the general population.  The Eye Tracker App has been developed in response.Eye Tracker was developed using the principles of neuroplasticity and muscle movement remediation.  Every time you experience something or do an activity there are changes to your nervous system.  For some people, during early development, the nerves and muscles that move the eyes dont develop in an optimal way.  A person can be left with eye movements that are not as smooth and accurate as is needed for reading, tracking a ball in motion or copying from a white/black board. This can result in:- regularly jumping over the little words like is, if, a, I, am, at etc. - joining letters from one word to another because they are not seeing the breaks where they should be; or- a line of text is not nice and straight but broken. Refer to the Eye Tracker website (www.eyetracker.net.au) for more detail and an example of this.The vestibular-ocular reflex is important for the smooth movement of the eyes.  This reflex goes from the vestibular system to the cerebellum and then to the eyes.  It allows you to maintain your focus on a point even when your head is moving.  This is an automatic process.  The cerebellum also happens to be a significant part of the brain when it comes to reading.  If this reflex is not working as well as it should, or the wiring of the cerebellum for its role in reading is not optimal, then there is a good chance that you will have difficulty reading.A person can do all the remedial reading programs in the world but if their eyes are not moving as well as they could be then they are limiting these other good programs. The development of Eye Tracker also enables people in remote areas or with limited finances to now have the opportunity to work on fixing this one area that significantly impacts their ability to read.TESTIMONIALS FOR EYE TRACKERJaryd was becoming disengaged from school, finding reading difficult and was consistently in trouble... His latest reports have good comments about his participation, leadership, willingness to help others and being a joy to teach brought tears to my eyes. He is enjoying school - yay!Cherie Johnston (Ormeau)Over the past 6 months of doing the eye exercises twice daily, we have seen a huge improvement in Lachlans writing, his concentration, his reading and listening skills have improved as well. His grade one teacher is so happy and amazed at how he was early on in the year to what he is now.Katrina Quodrill (Queensland)Madilyn struggled every night, particularly with her maths work, to the point of utter frustration for her and for me trying to help her. The changes in Madilyn have astounded me and my husband. She is happier within herself, her confidence has grown and a funny, happy girl has emerged. Her reading has become more fluent and her gross motor skills (such as running) have improved dramatically.Lyn Weir (Queensland)";NA
"Signs & Symptoms Growth Hormone helps patients self-manage Growth Hormone Deficiency, using interactive tools. This app gives patients important information regarding signs and symptoms of Growth Hormone Deficiency and management of the disease. This app also allows patients to keep track of Growth Hormone Deficiency progression along time with an incredible graphing option. These records can then be shown to a doctor who can in turn use them to improve the patients quality of life. 

This app also allows patients to remember when and which medication to take to manage Growth Hormone Deficiency. 

Besides, users can test their knowledge regarding Growth Hormone in an amusing way through a little and funny quiz. 

Some information provided may not be valid for residents of other countries due to variations in medical practice and drug approval. 

This patient education application provides patients and Health Care Practitioners with easy-to-access information on Growth Hormone Deficiency management.";NA
"Oregon OSHAs easy lift app was developed from a review of research on safe lifting to give the user a maximum safe weight for various lifting scenarios.
 
Step 1: Indicate where your lift begins.

Step 2: Estimate the number of lifts per minute and the hours of lifting per day.

Step 3: The app calculates the maximum safe lifting weight.";1
"Get rid of the beer belly with this awesome 15 Minutes Total Body Active Workout Challenge. Moreover, work from home!! This is a great way to get a good muscle burn without doing a really high intensity cardio workout. 

With the Active-Static style of training you have a group of two different exercises that use a similar position and utilize the same muscle groups. For example, the first group of exercises in the workout video are a traditional push up and a plank. Both of these exercises utilize almost identical muscle groups, actually the only muscle group that is not used by both exercises is the triceps which is more predominately used in the push up and is either not used or only lightly used depending on the style of plank you choose to do.

The term static means lack of movement. And as this term implies, with static training you take a weight and hold it in a fixed position for several seconds. This concept is based on the idea that by forcing the muscle to work only when it is maximally contracted and using the heaviest weight possible, you can optimize its growth potential. You have to admit that it makes sense. The question is, does it work?

The answer is yes; it does work when used properly. This is due mainly to the overload that's involved, as well as to the unique stimulus with which it jolts the muscle.

When you train using a full ROM, the amount of weight you can use is limited by your sticking pointthe point in the exercise ROM where you're weakest. You can only use as much weight as you can lift through that sticking point. With static contractions, you eliminate the sticking point, so you can overload the muscle fibers with as much weight as you can hold for at least 10 seconds in a particular muscle's strongest position.

Static contraction training may seem like a new concept, but it's hardly a radical, untested training philosophy.";1
"Bookends is a reference management app for your iPad, iPhone, and iPod touch. You can search Amazon, arXiv, Google Scholar, JSTOR, the Library of Congress, PubMed, PubMed Central, and Web of Science (requires access privileges and ip authentication) for references and download them, with pdfs (requires access privileges), to your personal library. Use the built-in browser to access Web sites (EZProxy compliant). Organize your references by groups (static and smart), annotate your pdfs directly within Bookends, and email references from your device to yourself or others in a form suitable for reading or importing into reference management applications. Autofill references from the internet by DOI or ISBN. Scan barcodes.

Use iCloud to sync all your libraries and attachments across iOS devices and with Bookends running on the Mac, and have full access to your references and sources whether you're at your desk or on the go.

Bookends for iOS without a Standard Version in-app purchase is limited in the following ways: searches return a maximum of 20 references, only 50 references can be stored in your local database, PDFs that you annotate on the iOS device are watermarked, and ads are shown. To have full access without these restrictions you must make a purchase from within the app (""in-app purchase). 

Pro Features Yearly Subscription (cloud sync of references and attachments, multi-library support, unlimited barcode scans) is a separate in-app purchase ($9.99) and requires a susbcription that is renewable on a yearly basis.
Subscription is for one year and can be auto-renewable. The subscription can be managed in iOS -> Settings > iTunes & App Store > Subscriptions. The subscription might renew if it wasn't canceled more than 24 hours before the renewal date.
If the subscription is not renewed, Pro Features will be disabled.

No cancellation of the current subscription is allowed during the active subscription period.

Standard Version - $9.99
Pro Features Yearly Subscription - $9.99

 If you like Bookends, please take the time to give us a nice review: it really helps.

Privacy Policy: http://www.sonnysoftware.com/bookendsontap/privacy/
Terms of Service: http://www.sonnysoftware.com/bookendsontap/termsofservice/";1
"Symptoms Of Food Poisoning is an app that includes some helpful information on the symptoms of food poisoning.

Symptoms Of Food Poisoning Includes:

Food Poisoning

Warning signs of food poisoning

Four Types

Bacteria That Cause

A Cure And Prevention

What is Food Poisoning?

Salmonella Food Poisoning

Stomach flu symptoms

Main Symptoms

And much more!

So what are you waiting for!?

Download The ""Symptoms Of Food Poisoning"" App now

And Learn The Symptoms Of Food Poisoning Today!";1
"View your personal schedule, handouts, maps, and evaluations for the 2018 AANP National Conference.  The AANP mobile app is here to help!";1
"This app makes use of the GPS component in the Apple Watch series 2 by allowing users to record runs phone-free. When in range of a phone, the watch synchronizes to upload all data to the phone. Integrates with Strava API, so that users can transfer data to a Strava account from their phone quickly and easily.";1
"Fast and simple capturing of your blood pressure and pulse readings. Automatic classification into different warning categories according to the WHO. Features:- StatisticsGet min-, max- and average values for different date ranges. Shows distribution of different warning categories.- Multiple personsCapture data for every member of your family.- PDF ReportsCreate meaningful PDF reports with diagrams and statistical data. Reports can be printed and send by e-mail.- CSV ExportExport all your data in CSV format, to further analyze it in your favorite spreadsheet application.- SynchronizationSync data between your devices using iCloud.- For iPhone and iPadOne app for all your devices- Optimized for IOS 8";NA
"The brand new Pelican Waters Golf Club app allows non-members to view our course guide and make public bookings via Paypal.  Members have access to a load of new features, including making bookings directly in-app, checking their member account balance, and setting their game-day preferences, which reminds them when new sheets become available.";1
"MD Coder Charge Capture is a leading, award-winning mobile charge capture solution that ensures zero lost charges and a higher level of accuracy.  It's the most robust, accurate, and user-friendly charge capture application available and saves healthcare organizations valuable time and resources, reducing denials and increasing revenue.

MD Coder solves problems commonly experienced, including:
--Lost charges
--Complex billing procedures (multi- procedure encounters, timed procedures, etc.)
--Lack of continuity of care between providers
--Disparate information across locations

MD Coder's mobile application streamlines the entire charge capture and billing process by making it easy for you to manage shared patient lists, code your procedures accurately, and submit your charges to the billing staff.

It also contains the full and always up-to-date CPT, RVU, and ICD-9 libraries.  The latest version of MD Coder also contains the full ICD-10 library, which will greatly assist with the transition.  Never buy a book again!

For Medicare providers, you will be pleased to know that we also support the full set of PQRS measures. By using MD Coder you will become PQRS compliant by simply entering your charges and answering MD Coder's questions when it prompts you. PQRS has never been so simple - and it pays! The average PQRS reimbursement will pay for your annual MD Coder subscription for a 100% return on your investment. 

MD Coder is available as a free download for distribution but is a subscription-based service that ultimately pays for itself and beyond.  We will work with you in order to customize the application to fit your needs.

We support the following specialties: 

Anesthesia
Cardiology
ENT
Facial Plastics
Family Practice
Gastroenterology
General Surgery
Internal Medicine
Hospitalist
Nephrology
Neurology
Neurosurgeon
OBGYN
Ophthalmology
Orthopedics
Pediatric Surgery
Pediatrics
Reconstructive Plastics
Podiatry
Pulmonary
Thoracic
Trauma
Urology
Vascular
... and more 

Important: If you experience problems please let us know by either calling us at 1-888-253-8813 or via e-mail at productsupport@mdtech.com. This is the only way we're able to assist you, thank you!";NA
"CliniCalc is a comprehensive tool for medical professionals, making it easy to perform complex calculations and remember scores, scales, classifications & more with high quality images. CliniCalc gives you the answers you need, when you need them. 
Do you remember the CHADS2 Score for atrial fibrillation patients, or recall the details of the Glasgow Coma Scale? Medical professionals often need to remember a wealth of complicated calculations. 
No matter what you need to know, whether its a classification, formula, scale or anything else, CliniCalcs streamlined navigation makes finding what you need simple and lightning fast.
Store your favorite formulas, find the most recently used, search for specific calculations using keywords and short descriptions. Youre only ever seconds away from finding the answers you need. 

CLINICALC  BENEFITS

 Hundreds of relevant formulas, scores, classifications & scales
 Store your favourite formulas, view recently used & search using keywords quickly
 Detailed background information for each formula 
 High quality images to help you with accurate classifications
 Universal support for US and SI units, with easy switching

FORMULAS, SCORES & CLASSIFICATIONS 

 Heres just a small sample of the valuable information youll have access to when using CliniCalc:
 Anesthesia  ASA, Bromage, Cormack, Goldman, ABCD, APACHE, Parkland, CAM-ICU, SAPS
 Cardiology  CC/AHA ASCVD, CHADS, EuroSCORE, GRACE, HAS-BLED, Killip, PROCAM, QT-c, TIMI
 Emergency Medicine  4T Score, CATCH, Canadian CT Head Rule, DIC, Dose Calculator, Glasgow Come Scale
 Gastroenterology  Child-Pugh, Glasgow, Harvey Bradshaw, MELD, NAC Calc, PELD, Ransons
 Hematology  DIC Score, Iron Deficit, ANC, Reticulocyte Index
 Nephrology  Cockcroft, GFR calculators, MDRD, Water Deficit & RIFLE
 Neurology  AMTS, Catch Rules, Dermatome Map, Hunt-Hess, NIHSS, WFNS
 Pediatrics  Age, Target Height, APGAR; Pediatric GCS, Tube Size, Westley Croup Score
 Pulmonology  CURB-65, MRC, GOLD, Spirometry, SMART-COP, BODE
 Miscellaneus  NNT, Odds, Sample Size, Two-Way Table, Corrected Ca, Units conversions

GET THE MOST COMPLETE DATABASE OF FORMULAS, SCORES & CLASSIFICATIONS TODAY! 

This app is intended for educational purposes only, and is not intended to diagnose, treat or cure any disease. No clinical decisions should be made based on this app. 

CliniCalc uses elements from the open source project MedCalc for iPhone governed by the Apache 2.0 and Creative Commons licenses.";NA
"Tellreg is an app that is used for registration in connection with a backend server.
The system records  work injury that happens to people working in a hospital
The system uses special forms to ensure correct registration of the damage that happened to the person.
This is to ensure that the damage can be registered correct in the danish state register for work injury.";1
"BMI (Body Mass Index) Free Calculator & Weight and Height Conversion is an application which calculates the Body Mass Index. The calculation is based on the height and weight (using the Imperial or the Metric system).";1
"This application enables you to identify the doctors and clinics operating in disciplines related skin diseases and cosmetic surgery. And the latest special offers provided by the clinics in the disciplines mentioned above.";NA
"Managing your health care just got easier with the latest version of our app. The redesign includes a colorful new interface, tools that make it faster and easier to use, and new quick-access menus that let you get advice, schedule appointments, and refill prescriptions. And our improved navigation puts the features and information you need within reach at all times. 
Compatibility: Requires iOS 9.0 or later. Compatible with iPhone and iPod touch.

NOTE: Former Group Health members and Washington residents outside of Vancouver/Longview are unable to use the Kaiser Permanente app at this time. Download the Kaiser Permanente for Washington app to quickly and easily manage your health care

 Health plan members can sign into the app using their kp.org user ID and password to access our secure features, including: 
 Messages: Email your doctor or Member Services with non-urgent questions, privately and securely.
 Appointments: Schedule, view, and cancel appointments with your doctors office and see information about past visits. 
 Pharmacy: Refill prescriptions for yourself or another member, check the status of a prescription order, and see a list of all your medications.
 Medical Record: See your health history at your fingertips, including your allergies and immunizations, any ongoing health conditions, and most lab test results.";1
"SECURE Facility
By IntelliCentrics
 
The SECURE Facility mobile app is designed for hospital or facility administrators who are already part of the SECURE healthcare community. SECURE Facility increases administrators efficiency by providing SECURE access from anywhere at any time. Keep track of HCIRs/Reps currently in your facilities, lookup HCIRs/Reps & companies attaching to your facilities, and review negative events generated by HCIRs/Reps.
 
MONITOR HCIRS/REPS ACTIVITIES ONSITE
* View a list of WHO is currently in the building
* WHERE everyone SHOULD be
* WHAT is their stated business
* HOW LONG they will be onsite
 
SEARCH FOR HCIRS/REPS
* By name for individuals
* By company to list every representative
* Profile photos tell you exactly who you are working with
* Scan HCIR/Rep dashboards for facility compliance
 
REVIEW NEGATIVE HCIR/REP EVENTS
* Scan a list of recent (7 days) events
* Know what types of events your HCIRs/Reps are generating
 
IMPORTANT NOTE FROM THE DEVELOPERS:
If you have any questions, feedback or suggestions, please contact us directly at (817) SECURE (732-3873) or HostSupport@IntelliCentrics.com.
 
About IntelliCentrics, Inc.
For more than ten years, at more than 10,000 unique locations of care across six countries, the SECURE technology platform has been making it easier for hospitals and facilities to meet all compliance regulationsall on a single instance of software. IntelliCentrics CVO is fully Certified by NCQA for 11 out of 11 verification services.";1
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;NA
NA;0
NA;0
"Helpgiva platform helps in improving communication during emergency situations. It provides identification for the users of Helpgiva platform which can be used by any passerby during emergency to send alert to the close ones of the victim. A simple SMS can let the emergency contacts know that a kin needs their help due to an emergency and they can also get details of the person who has witnessed this emergency. Emergency contact(s) may be able to call back to understand first hand information about this emergency and try to provide best possible help, remotely, as early as possible.";0
